222,303
239,301
256,298
279,299
301,300
322,298
343,297
363,295
380,294
397,295
414,294
430,298
442,298
458,299
473,299
489,300
502,301
513,300
517,300
519,302
513,300
501,300
483,298
459,294
430,285
403,272
379,258
363,238
351,220
343,207
339,195
335,189
332,180
334,175
338,173
351,174
366,173
392,172
414,167
439,165
462,161
483,159
503,159
525,158
533,158
538,160
543,161
534,163
517,166
495,173
467,175
438,179
407,183
380,182
353,189
325,194
300,196
279,190
257,198
237,198
220,195
206,194
191,194
176,196
163,199
152,204
143,209
135,212
133,214
137,215
142,216
149,219
161,223
172,233
182,247
193,263
202,280
213,296
224,307
237,320
246,328
253,332
258,333
263,334
265,331
267,328
263,326
255,323
240,319
227,316
208,313
191,312
175,311
168,311
157,315
146,316
137,317

 DONE2
